year,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val
16,0,1,1,1,13,5.225309281725862,112
17,1,1,1,1,21,4.602059991327962,67
15,1,1,1,2,22,4.460897842756547,65
18,1,1,1,1,21,4.30102999566398,67
21,0,1,1,1,13,5.217483944213906,100
18,1,1,1,2,21,4.993436230497611,66
14,1,1,1,3,19,4.991226075692494,79
20,0,1,1,2,13,4.602059991327962,105
18,1,1,1,3,21,4.954242509439324,46
15,0,1,1,2,19,5.0413926851582245,110
24,0,1,1,1,21,4.8909795969896885,88
21,0,1,1,1,13,5.0,100
18,0,1,1,2,22,5.079181246047624,71
22,1,1,1,2,19,4.903089986991943,82
24,1,1,1,2,13,4.322219294733919,82
24,1,1,1,2,21,5.0,86
25,1,1,1,1,21,4.3979400086720375,82
25,0,1,1,3,16,4.477121254719662,99
24,1,1,0,1,11,4.3979400086720375,106
18,0,1,0,1,11,5.204119982655924,169
24,1,1,1,1,13,4.711739760580296,82
17,0,1,1,2,17,4.857332496431268,104
22,1,1,1,1,16,4.778151250383643,87
19,0,1,1,2,13,5.133538908370217,62
20,1,1,1,1,19,4.778151250383643,62
19,1,1,1,1,19,4.954242509439324,62
20,0,1,1,4,18,4.959041392321093,85
15,1,1,1,4,19,4.954242509439324,62
21,1,1,1,2,21,4.698970004336019,67
16,1,1,1,1,19,4.30102999566398,68
17,0,1,1,1,13,5.079181246047624,95
15,1,1,1,2,21,5.1760912590556805,67
21,0,1,1,1,22,4.716003343634799,69
20,0,1,1,2,13,5.222716471147582,63
23,0,1,1,1,21,4.602059991327962,74
16,0,1,1,2,21,5.278753600952829,75
22,1,1,1,1,20,4.698970004336019,67
17,0,1,1,2,13,4.845098040014256,112
18,1,1,1,2,21,4.903089986991943,67
14,0,1,1,1,13,5.079181246047624,63
21,0,1,1,2,13,4.602059991327962,100
21,1,1,1,1,19,4.230448921378274,55
16,1,1,1,2,21,5.255272505103306,67
22,1,1,1,1,21,4.698970004336019,67
20,1,1,1,2,19,4.812913356642856,55
17,1,1,1,3,22,4.0,35
15,0,1,1,2,13,4.845098040014256,63
20,0,1,1,2,26,4.954242509439324,72
21,0,1,1,1,19,4.698970004336019,89
