year,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val
20,1,1,1,1,19,4.698970004336019,55
21,0,1,1,1,18,4.845098040014256,108
22,0,1,1,2,11,4.755112266395071,148
18,0,0,1,2,21,5.115197652539602,74
21,1,0,1,1,19,4.595650512251401,82
16,0,1,1,1,22,5.0413926851582245,71
22,1,1,1,2,21,4.698970004336019,47
22,1,1,1,1,21,4.602059991327962,67
12,1,1,1,1,21,4.954242509439324,46
17,0,1,1,2,13,5.0,63
20,0,1,1,2,21,5.079181246047624,74
26,1,1,1,1,22,3.6989700043360187,108
17,0,1,1,2,13,5.079181246047624,63
22,1,1,1,1,23,4.544068044350275,54
21,1,1,1,1,14,4.342422680822206,117
22,1,1,1,2,19,4.643452676486187,82
21,0,1,0,1,11,4.778151250383643,168
18,2,1,1,1,21,4.778151250383643,58
19,0,1,1,2,22,4.903089986991943,138
21,0,1,1,2,13,5.0413926851582245,118
17,0,1,1,2,13,5.146128035678237,115
24,1,1,1,1,14,4.477121254719662,89
20,1,1,1,2,19,4.812913356642856,55
17,1,1,1,2,22,4.954242509439324,64
25,1,1,1,1,16,4.0,95
19,0,1,1,1,17,4.903089986991943,74
19,1,1,1,1,21,4.544068044350275,47
15,1,1,1,1,21,4.826074802700826,67
23,0,1,1,1,22,4.698970004336019,74
13,0,1,1,4,19,5.079181246047624,110
20,0,0,1,1,14,4.857332496431268,99
20,0,1,1,1,13,4.8808135922807905,62
12,1,1,1,3,15,5.079181246047624,150
18,0,1,1,2,11,5.079181246047624,67
17,0,1,1,4,19,5.1760912590556805,90
21,1,1,1,1,19,4.954242509439324,82
24,0,1,1,1,21,4.472756449317212,88
19,1,1,1,1,19,4.602059991327962,79
19,1,1,1,2,21,4.633468455579586,67
19,1,1,1,1,19,4.602059991327962,79
16,1,0,1,1,17,4.648360010980931,74
21,0,1,1,2,14,4.698970004336019,99
19,0,1,1,1,13,4.716003343634799,100
19,0,1,1,3,13,4.845098040014256,140
14,0,1,1,1,22,5.0413926851582245,138
19,0,1,1,3,21,4.778151250383643,89
18,0,1,1,1,21,5.285557309007773,74
22,0,1,1,1,21,4.653212513775343,88
23,1,1,1,1,21,4.477121254719662,82
20,0,1,1,2,22,4.934498451243567,138
24,1,0,1,1,11,3.718418641829655,106
22,0,1,1,1,19,4.602059991327962,89
25,1,1,0,1,21,3.8750612633916997,82
24,0,1,1,1,19,4.698970004336019,89
20,0,1,1,1,11,5.164352855784436,67
20,2,1,1,1,21,4.954242509439324,63
17,0,0,1,2,16,4.741387992479268,68
23,1,1,1,1,19,4.477121254719662,82
12,0,1,1,2,21,5.0413926851582245,58
19,0,1,1,3,21,5.021189299069937,74
12,1,1,1,2,14,5.079181246047624,100
24,1,1,0,1,19,4.740362689494243,121
18,0,1,1,3,18,5.0413926851582245,85
16,0,1,1,2,21,5.130333768495006,75
23,1,1,1,1,19,4.3979400086720375,82
23,0,1,1,1,13,5.079181246047624,100
13,1,1,1,1,21,4.954242509439324,37
18,0,1,1,2,22,4.544068044350275,69
18,0,0,1,1,26,4.75100951133749,56
25,0,1,1,1,19,4.2922560713564755,89
24,1,1,0,1,19,4.0,68
16,0,1,1,3,13,5.477121254719662,63
21,0,1,1,1,19,4.903089986991943,126
17,0,1,1,3,13,5.079181246047624,63
12,1,1,1,2,21,4.954242509439324,67
18,0,1,1,2,20,5.0413926851582245,108
24,0,1,1,1,16,4.30102999566398,99
