iter	Passed	Remaining
722	2044	783
723	2046	780
724	2049	777
725	2051	774
726	2053	770
727	2055	767
728	2058	765
729	2061	762
730	2063	759
731	2065	756
732	2067	753
733	2069	750
734	2072	747
735	2074	744
736	2076	741
737	2078	738
738	2080	734
739	2082	731
740	2084	728
741	2086	725
742	2089	722
743	2092	719
744	2094	716
745	2096	713
746	2098	710
747	2100	707
748	2102	704
749	2104	701
750	2107	698
751	2109	695
752	2111	692
753	2113	689
754	2115	686
755	2117	683
756	2120	680
757	2122	677
758	2124	674
759	2126	671
760	2128	668
761	2130	665
762	2132	662
763	2134	659
764	2138	657
765	2140	653
766	2142	650
767	2144	647
768	2145	644
769	2149	641
770	2151	638
771	2152	635
772	2154	632
773	2156	629
774	2157	626
775	2159	623
776	2161	620
777	2164	617
778	2166	614
779	2167	611
780	2169	608
781	2171	605
782	2173	602
783	2174	599
784	2176	596
785	2179	593
786	2181	590
787	2183	587
788	2185	584
789	2187	581
790	2189	578
791	2191	575
792	2193	572
793	2197	570
794	2198	567
795	2200	564
796	2202	561
797	2204	558
798	2206	555
799	2208	552
800	2210	549
801	2213	546
802	2215	543
803	2216	540
804	2218	537
805	2220	534
806	2222	531
807	2224	528
808	2227	525
809	2229	522
810	2231	519
811	2232	516
812	2234	514
813	2236	511
814	2238	508
815	2240	505
816	2243	502
817	2245	499
818	2247	496
819	2249	493
820	2250	490
821	2252	487
822	2254	484
823	2256	481
824	2259	479
825	2261	476
826	2263	473
827	2265	470
828	2267	467
829	2269	464
830	2271	461
831	2272	458
832	2275	456
833	2277	453
834	2279	450
835	2281	447
836	2283	444
837	2285	441
838	2286	438
839	2288	435
840	2292	433
841	2294	430
842	2296	427
843	2298	424
844	2300	421
845	2302	419
846	2303	416
847	2306	413
848	2309	410
849	2311	407
850	2312	404
851	2314	402
852	2316	399
853	2318	396
854	2320	393
855	2323	390
856	2325	388
857	2327	385
858	2329	382
859	2332	379
860	2334	376
861	2336	373
862	2339	371
863	2342	368
864	2343	365
865	2345	362
866	2347	360
867	2349	357
868	2351	354
869	2354	351
870	2356	349
871	2358	346
872	2360	343
873	2361	340
874	2363	337
875	2365	334
876	2367	332
877	2369	329
878	2371	326
879	2373	323
880	2375	320
881	2377	318
882	2379	315
883	2380	312
884	2382	309
885	2384	306
886	2388	304
887	2390	301
888	2391	298
889	2393	295
890	2395	293
891	2397	290
892	2399	287
893	2401	284
894	2404	282
895	2406	279
896	2408	276
897	2410	273
898	2412	270
899	2413	268
900	2415	265
901	2418	262
902	2420	260
903	2422	257
904	2424	254
905	2426	251
906	2428	248
907	2430	246
908	2432	243
909	2435	240
910	2437	238
911	2439	235
912	2441	232
913	2442	229
914	2444	227
915	2446	224
916	2449	221
917	2451	219
918	2453	216
919	2455	213
920	2457	210
921	2459	208
922	2461	205
923	2463	202
924	2466	199
925	2468	197
926	2470	194
927	2471	191
928	2473	189
929	2475	186
930	2477	183
931	2479	180
932	2481	178
933	2484	175
934	2486	172
935	2487	170
936	2489	167
937	2491	164
